MODELO	MARCAS	RECARGO	DESC. FIJO
RDX	HONDA	25%	59%
RIDGELINE	HONDA	25%	59%
S2000	HONDA	25%	59%
SILVER	HONDA	25%	59%
TRX	HONDA	25%	59%
VTX 13000	HONDA	25%	59%
XL200	HONDA	25%	59%
XRL125L	HONDA	25%	59%
H2	HUMMER	25%	59%
H3	HUMMER	25%	59%
OPEN TOP	HUMMER	25%	59%
REMOLQUE	HYSTER	25%	59%
CHASIS	HYTR	25%	59%
POR DEFINIR	HYTR	25%	59%
HYUN	HYUN	25%	59%
145	HYUN	25%	59%
110	HYUNDAI	25%	30%
ACCENT	HYUNDAI	25%	30%
ACCENT HATCHBAC	HYUNDAI	25%	30%
ACCENT HB	HYUNDAI	25%	30%
ATOS	HYUNDAI	25%	30%
COUPE	HYUNDAI	25%	30%
COUPE BASIC	HYUNDAI	25%	30%
ELANTRA	HYUNDAI	25%	45%
ELANTRA GL	HYUNDAI	25%	45%
EON	HYUNDAI	25%	30%
EXCEL	HYUNDAI	25%	30%
FURGON	HYUNDAI	25%	59%
GALLOPER	HYUNDAI	25%	59%
GENESIS	HYUNDAI	25%	59%
GETZ	HYUNDAI	25%	30%
GRACE	HYUNDAI	25%	30%
GRAND I-10 HB	HYUNDAI	25%	30%
GRANDBIRD	HYUNDAI	25%	30%
H-1	HYUNDAI	25%	59%
H-100	HYUNDAI	25%	59%
H-100 TRUCK	HYUNDAI	25%	59%
H930C (4WD)	HYUNDAI	25%	59%
HD270	HYUNDAI	25%	59%
HD-42	HYUNDAI	25%	59%
HD45	HYUNDAI	25%	59%
HD-65	HYUNDAI	25%	59%
HD-72	HYUNDAI	25%	59%
I 20	HYUNDAI	25%	30%
I10	HYUNDAI	25%	30%
I-10	HYUNDAI	25%	30%
I-10 GRAND	HYUNDAI	25%	30%
I-20	HYUNDAI	25%	30%
I30	HYUNDAI	25%	30%
I-30	HYUNDAI	25%	30%
MATRIX	HYUNDAI	25%	45%
MICROBUS	HYUNDAI	25%	59%
NEW ELANTRA	HYUNDAI	25%	59%
OMNIBUS	HYUNDAI	25%	59%
POR DEFINIR	HYUNDAI	25%	59%
PORTER	HYUNDAI	25%	59%
SANTA FE	HYUNDAI	25%	59%
SANTAMO	HYUNDAI	25%	59%
SONATA	HYUNDAI	25%	59%
TERRACAN	HYUNDAI	25%	59%
TERRACAN GL	HYUNDAI	25%	59%
TIBURON	HYUNDAI	25%	59%
TRAILER	HYUNDAI	25%	59%
TRAJET	HYUNDAI	25%	59%
TUCSON	HYUNDAI	25%	59%
TUCSON IX	HYUNDAI	25%	59%
UNIVERSE LS	HYUNDAI	25%	59%
UNIVERSE LUXURY	HYUNDAI	25%	59%
VELOSTER	HYUNDAI	25%	59%
VERACRUZ	HYUNDAI	25%	59%
XG300	HYUNDAI	25%	59%
XG350L	HYUNDAI	25%	59%
IMPERIAL	IMPERIAL	25%	59%
EX35	INFINITI	25%	59%
EX35 RWD JOURNE	INFINITI	25%	59%
FX35	INFINITI	25%	59%
FX37	INFINITI	25%	59%
G20	INFINITI	25%	59%
G25	INFINITI	25%	59%
G35	INFINITI	25%	59%
G37	INFINITI	25%	59%
I-30	INFINITI	25%	59%
JX35	INFINITI	25%	59%
J30	INFINITI	25%	59%
J30T	INFINITI	25%	59%
QX4	INFINITI	25%	59%
QX56	INFINITI	25%	59%
QX70	INFINITI	25%	59%
QX80	INFINITI	25%	59%
Q45	INFINITI	25%	59%
Q50	INFINITI	25%	59%
TLTNLTLEUA	INFINITI	25%	59%
XQ60 2015	INFINITI	25%	59%
4900	INTERNACIONAL	25%	59%
CAMION	INTERNACIONAL	25%	59%
D466	INTERNACIONAL	25%	59%
MULA	INTERNACIONAL	25%	59%
RF192	INTERNACIONAL	25%	59%
THOMAS	INTERNACIONAL	25%	59%
4300	INTERNACIONAL	25%	59%
4300 4X2	INTERNACIONAL	25%	59%
4300SBA	INTERNACIONAL	25%	59%
4400	INTERNACIONAL	25%	59%
8200	INTERNACIONAL	25%	59%
8600	INTERNACIONAL	25%	59%
9400	INTERNACIONAL	25%	59%
  ICH	INTERNATIONAL	25%	59%
8000	INTERNATIONAL	25%	59%
EAGLE	INTERNATIONAL	25%	59%
PULLMAN	INTERNATIONAL	25%	59%
VOLQUETE	INTERNATIONAL	25%	59%
5515	INTERNATIONAL	25%	59%
9000	INTERNATIONAL	25%	59%
BBB-652W-82-A	INTERNATIONAL	25%	59%
BLUEBIRD	INTERNATIONAL	25%	59%
CAMION	INTERNATIONAL	25%	59%
CAT	INTERNATIONAL	25%	59%
COF 4070B	INTERNATIONAL	25%	59%
COF 967	INTERNATIONAL	25%	59%
COF5470	INTERNATIONAL	25%	59%
COF9670	INTERNATIONAL	25%	59%
COF9700	INTERNATIONAL	25%	59%
CO9670	INTERNATIONAL	25%	59%
C96	INTERNATIONAL	25%	59%
DURASTAR	INTERNATIONAL	25%	59%
F-2275	INTERNATIONAL	25%	59%
F-2670	INTERNATIONAL	25%	59%
F4370	INTERNATIONAL	25%	59%
F8300	INTERNATIONAL	25%	59%
F9370	INTERNATIONAL	25%	59%
INTERNATIONAL	INTERNATIONAL	25%	59%
LOADSTAR	INTERNATIONAL	25%	59%
NAVYSTAR	INTERNATIONAL	25%	59%
PROSTAR 2015	INTERNATIONAL	25%	59%
PROSTAR 9200 20	INTERNATIONAL	25%	59%
S-1700	INTERNATIONAL	25%	59%
S1700	INTERNATIONAL	25%	59%
S1800	INTERNATIONAL	25%	59%
S-1900	INTERNATIONAL	25%	59%
THOMAS	INTERNATIONAL	25%	59%
TK	INTERNATIONAL	25%	59%
TOWING	INTERNATIONAL	25%	59%
TRANSTAR	INTERNATIONAL	25%	59%
TR-TK-2	INTERNATIONAL	25%	59%
TRUCK	INTERNATIONAL	25%	59%
T-33	INTERNATIONAL	25%	59%
1654	INTERNATIONAL	25%	59%
1700	INTERNATIONAL	25%	59%
1750B	INTERNATIONAL	25%	59%
1753	INTERNATIONAL	25%	59%
1754	INTERNATIONAL	25%	59%
1800	INTERNATIONAL	25%	59%
1853	INTERNATIONAL	25%	59%
1854	INTERNATIONAL	25%	59%
1954	INTERNATIONAL	25%	59%
2015	INTERNATIONAL	25%	59%
3800	INTERNATIONAL	25%	59%
400	INTERNATIONAL	25%	59%
4000	INTERNATIONAL	25%	59%
4200	INTERNATIONAL	25%	59%
4300	INTERNATIONAL	25%	59%
4300SBA	INTERNATIONAL	25%	59%
4400	INTERNATIONAL	25%	59%
4600	INTERNATIONAL	25%	59%
4700	INTERNATIONAL	25%	59%
4800	INTERNATIONAL	25%	59%
4900	INTERNATIONAL	25%	59%
49004X2	INTERNATIONAL	25%	59%
51754	INTERNATIONAL	25%	59%
7400	INTERNATIONAL	25%	59%
760 0	INTERNATIONAL	25%	59%
7600 6X4	INTERNATIONAL	25%	59%
8100	INTERNATIONAL	25%	59%
8300	INTERNATIONAL	25%	59%
8600	INTERNATIONAL	25%	59%
90S960	INTERNATIONAL	25%	59%
9200	INTERNATIONAL	25%	59%
9400	INTERNATIONAL	25%	59%
94001	INTERNATIONAL	25%	59%
9600	INTERNATIONAL	25%	59%
9670	INTERNATIONAL	25%	59%
9690	INTERNATIONAL	25%	59%
9700	INTERNATIONAL	25%	59%
976	INTERNATIONAL	25%	59%
GGLB038	ISUZU	25%	59%
FSR	ISUZU	25%	59%
FSR11K-54	ISUZU	25%	59%
GGLB001	ISUZU	25%	59%
GGLB047	ISUZU	25%	59%
GGLZA008	ISUZU	25%	59%
GGLZA039	ISUZU	25%	59%
GGL8001	ISUZU	25%	59%
GGL9001	ISUZU	25%	59%
NKR55E-16	ISUZU	25%	59%
NKR66E-44	ISUZU	25%	59%
NPR58P-02	ISUZU	25%	59%
D-MAX	ISUZU	25%	59%
D-MAX JD0296	ISUZU	25%	59%
D-MAX 99LB038	ISUZU	25%	59%
FRR	ISUZU	25%	59%
FSR33L-02	ISUZU	25%	59%
FTR	ISUZU	25%	59%
FTR33M-02	ISUZU	25%	59%
FTR33M-04	ISUZU	25%	59%
GGLA038	ISUZU	25%	59%
GGLA039	ISUZU	25%	59%
GGLB001	ISUZU	25%	59%
GGLB039	ISUZU	25%	59%
GGLB040	ISUZU	25%	59%
GGLZA038	ISUZU	25%	59%
GGL9026	ISUZU	25%	59%
GGL9038	ISUZU	25%	59%
GGL9039	ISUZU	25%	59%
HOMBRE	ISUZU	25%	59%
IGL2037	ISUZU	25%	59%
IGL3013	ISUZU	25%	59%
IGL3023	ISUZU	25%	59%
IGL3024	ISUZU	25%	59%
IGL3035	ISUZU	25%	59%
IGL3040	ISUZU	25%	59%
IGL3045A	ISUZU	25%	59%
IGL3048A	ISUZU	25%	59%
IGL3050A	ISUZU	25%	59%
IGL3052A	ISUZU	25%	59%
IGL3054A	ISUZU	25%	59%
IG3052A	ISUZU	25%	59%
JW4S042	ISUZU	25%	59%
JX1052TG2	ISUZU	25%	59%
K3500	ISUZU	25%	59%
LB3848	ISUZU	25%	59%
NHR55E-02	ISUZU	25%	59%
NKR55E-14	ISUZU	25%	59%
NKR55E-16	ISUZU	25%	59%
NKR55L	ISUZU	25%	59%
NKR55L-04	ISUZU	25%	59%
NKR-575	ISUZU	25%	59%
NKR58E-10	ISUZU	25%	59%
NKR66E-40	ISUZU	25%	59%
NKR66L-31	ISUZU	25%	59%
NKR66L-34	ISUZU	25%	59%
NMR55E-22	ISUZU	25%	59%
NMR71H-22	ISUZU	25%	59%
NPR	ISUZU	25%	59%
NPR5EL	ISUZU	25%	59%
NPR58L-02	ISUZU	25%	59%
NPR66P-02	ISUZU	25%	59%
NPR66P-32	ISUZU	25%	59%
NPR71F-28	ISUZU	25%	59%
NPR71H-22	ISUZU	25%	59%
NPR71K-22	ISUZU	25%	59%
NPS71L-02	ISUZU	25%	59%
NQR	ISUZU	25%	59%
NQR71K-22	ISUZU	25%	59%
NQR71L-22	ISUZU	25%	59%
NQR71P-02	ISUZU	25%	59%
NQR71R	ISUZU	25%	59%
NQR71R-02	ISUZU	25%	59%
NTR66	ISUZU	25%	59%
PICK UP	ISUZU	25%	59%
POR DEFINIR	ISUZU	25%	59%
QKR55L-EE1AY	ISUZU	25%	59%
QKR55L-HH5AY	ISUZU	25%	59%
RODEO	ISUZU	25%	59%
SPACE	ISUZU	25%	59%
TFR	ISUZU	25%	59%
TFR54HDPLMEG	ISUZU	25%	59%
TFR54HS-G	ISUZU	25%	59%
TFR54H-00	ISUZU	25%	59%
TFR54H-20	ISUZU	25%	59%
TFR54H20	ISUZU	25%	59%
TFS54HDPLMXG-05	ISUZU	25%	59%
TFS54H-00	ISUZU	25%	59%
TFS55H-10	ISUZU	25%	59%
TFS55H-20	ISUZU	25%	59%
TFS85HDPLAXG	ISUZU	25%	59%
TROOPER	ISUZU	25%	59%
TRUCK	ISUZU	25%	59%
UBSG9G-24	ISUZU	25%	59%
UIQL5007	ISUZU	25%	59%
UIQL507	ISUZU	25%	59%
IGL3040	ISUZU D-MAX	25%	59%
440ETX	IVECO	25%	59%
HFC 1040 K	JAC	25%	59%
HFC 1042	JAC	25%	59%
HFC1035K	JAC	25%	59%
HFC1042KRD	JAC	25%	59%
WINGLE 5	JAC	25%	59%
DAIMLER	JAGUAR	25%	59%
DOMBU	JAGUAR	25%	59%
SOVEREIGN	JAGUAR	25%	59%
S-TYPE	JAGUAR	25%	59%
VANDE PLAS	JAGUAR	25%	59%
XF	JAGUAR	25%	59%
XF 4.2	JAGUAR	25%	59%
XJS	JAGUAR	25%	59%
XJ6	JAGUAR	25%	59%
XKB	JAGUAR	25%	59%
XKE	JAGUAR	25%	59%
XK8 COUPE	JAGUAR	25%	59%
XL6	JAGUAR	25%	59%
XTYPE	JAGUAR	25%	59%
X56	JAGUAR	25%	59%
420	JAGUAR	25%	59%
3CX	JCB	25%	59%
MKJH49-26D	JEEP	25%	59%
CHEROKEE	JEEP	25%	59%
CHEROKEE LIMITE	JEEP	25%	59%
CHEROKEE LIMIT4	JEEP	25%	59%
CJ-5	JEEP	25%	59%
COMPASS	JEEP	25%	59%
G. CHEROKEE	JEEP	25%	59%
GRAND CHER LIMI	JEEP	25%	59%
GRAND CHEROKEE	JEEP	25%	59%
GRAND WAGONEER	JEEP	25%	59%
GRAND 1CHEROKEE	JEEP	25%	59%
JKJP74-24G	JEEP	25%	59%
KJJH74-29B	JEEP	25%	59%
KKJL74-28B	JEEP	25%	59%
LAREDO	JEEP	25%	59%
LIBERTY	JEEP	25%	59%
MKJP49-26F	JEEP	25%	59%
M35A2	JEEP	25%	59%
PATRIOT	JEEP	25%	59%
RENEGADO	JEEP	25%	59%
SAHARA	JEEP	25%	59%
TRACKER	JEEP	25%	59%
WAGONEER	JEEP	25%	59%
WKJH74-26E	JEEP	25%	59%
WKJP74-27H	JEEP	25%	59%
WKTH74-26E	JEEP	25%	59%
WRANGLER	JEEP	25%	59%
WRANGLER RUB	JEEP	25%	59%
WRANGLER SPORT	JEEP	25%	59%
JS125-6B	JIANSHE	25%	59%
JX1021D	JMC	25%	59%
JX1021DSH	JMC	25%	59%
JX1032D	JMC	25%	59%
JX1032DS	JMC	25%	59%
JX1043DB2	JMC	25%	59%
JX1043DL2	JMC	25%	59%
JX1052TG2	JMC	25%	59%
JX1090TK23	JMC	25%	59%
JX3041D2	JMC	25%	59%
LETEDAD	JMC	25%	59%
ARN 150	KATANA	25%	59%
KATANA	KATANA	25%	59%
KN-125H	KATANA	25%	59%
BAYON	KAWASAKI	25%	59%
EJ650-A2	KAWASAKI	25%	59%
EN50007F	KAWASAKI	25%	59%
EX250J9F	KAWASAKI	25%	59%
KAF300	KAWASAKI	25%	59%
KAWASAKI	KAWASAKI	25%	59%
KE-100	KAWASAKI	25%	59%
KLE650DEF 2014	KAWASAKI	25%	59%
KL650EBF	KAWASAKI	25%	59%
KVF300	KAWASAKI	25%	59%
KVF400P1	KAWASAKI	25%	59%
KVF750-A1	KAWASAKI	25%	59%
KVF750FBF	KAWASAKI	25%	59%
KX125	KAWASAKI	25%	59%
MULE 4010	KAWASAKI	25%	59%
NINJA 300 SPORT	KAWASAKI	25%	59%
NINJASPORT250	KAWASAKI	25%	59%
VN750	KAWASAKI	25%	59%
VN900CBFA	KAWASAKI	25%	59%
VULCAN	KAWASAKI	25%	59%
ZR1000GEFA	KAWASAKI	25%	59%
ZX1000C2	KAWASAKI	25%	59%
ZX1000KDFL	KAWASAKI	25%	59%
ZX600P	KAWASAKI	25%	59%
ZX600P7F	KAWASAKI	25%	59%
Z200	KAWASAKI	25%	59%
24600D1	KAWASAKI	25%	59%
600	KAWASAKI	25%	59%
C500	KENWORTH	25%	59%
DUMP TRUCK	KENWORTH	25%	59%
KC2	KENWORTH	25%	59%
K10	KENWORTH	25%	59%
K100	KENWORTH	25%	59%
TRACTOR CARRET	KENWORTH	25%	59%
TRUCK	KENWORTH	25%	59%
T200	KENWORTH	25%	59%
T-450	KENWORTH	25%	59%
T460	KENWORTH	25%	59%
T600	KENWORTH	25%	59%
T800	KENWORTH	25%	59%
T800B	KENWORTH	25%	59%
W900	KENWORTH	25%	59%
2041	KENWORTH	25%	59%
ASIA	KIA	25%	59%
AVELLA	KIA	25%	59%
AVELLA DELTA	KIA	25%	59%
AVELLA DELTA GS	KIA	25%	59%
AVELLA SECRETY	KIA	25%	59%
CADENZA	KIA	25%	59%
CAPITAL	KIA	25%	59%
CARENS	KIA	25%	59%
CARNIVAL	KIA	25%	59%
CERATO	KIA	25%	30%
CERATO KOUP	KIA	25%	30%
CERATO SX SPORT	KIA	25%	30%
CERATO XL 6	KIA	25%	30%
CERES	KIA	25%	59%
GRAND PREGIO	KIA	25%	59%
K2400	KIA	25%	59%
K2500	KIA	25%	59%
K2700	KIA	25%	59%
K2700 4WD DOBLE	KIA	25%	59%
K3000	KIA	25%	59%
MINIVANS	KIA	25%	59%
MOHAVE	KIA	25%	59%
MOTORS	KIA	25%	59%
OMNIBUS	KIA	25%	59%
OPIRUS	KIA	25%	59%
OPTIMA	KIA	25%	59%
OPTIMA SPORT AT	KIA	25%	59%
PICANTO	KIA	25%	30%
PICANTO EX FULL	KIA	25%	30%
PICANTO IM AT	KIA	25%	30%
PREGIO	KIA	25%	30%
PRIDE	KIA	25%	30%
PRIDE POP	KIA	25%	30%
RIO	KIA	25%	30%
RIO EX FULL	KIA	25%	30%
RIO EX HATCHBAC	KIA	25%	30%
SEDONA	KIA	25%	59%
SEPHIA	KIA	25%	59%
SHUMA	KIA	25%	59%
SORENTO	KIA	25%	59%
SORENTO LIMITED	KIA	25%	59%
SOUL	KIA	25%	59%
SOUL EX FULL 6	KIA	25%	59%
SOUL LX 6 AT	KIA	25%	59%
SPECTRA	KIA	25%	59%
SPORTAGE	KIA	25%	59%
SPORTAGE FL 6	KIA	25%	59%
SPORTAGE GRAND	KIA	25%	59%
SPORTAGE MRDY	KIA	25%	59%
SPORTAGE R FULL	KIA	25%	59%
SPORTAGE R LIMI	KIA	25%	59%
SPORTAGE R 6 AT	KIA	25%	59%
SPORTAGE R 6V	KIA	25%	59%
SPORTAGE 4X2	KIA	25%	59%
TOWNER	KIA	25%	59%
150-7B	KING MOTOR	25%	59%
KT125GY	KITOMI	25%	59%
CSDAH	KITOMI	25%	59%
KT150GY	KITOMI	25%	59%
KT150-7	KITOMI	25%	59%
KT200GY	KITOMI	25%	59%
MARK-D	KITOMI	25%	59%
POLSI	KITOMI	25%	59%
SUNRACER	KITOMI	25%	59%
SUNRACER 150S	KITOMI	25%	59%
D65A	KOMATSU	25%	59%
FB15RJ-8	KOMATSU	25%	59%
TCM	KOMATSU	25%	59%
SUPER DUKE	KTM	25%	59%
390 DUKE	KTM	25%	59%
2121	LADA	25%	59%
AVENTADOR	LAMBORGHINI	25%	59%
GALLARDO	LAMBORGHINI	25%	59%
FREELANDER 2	LAND ROVER	25%	59%
DEFENDER	LAND ROVER	25%	59%
DEFENDER 90	LAND ROVER	25%	59%
DEFENDER 90 SW	LAND ROVER	25%	59%
DISCOVERY	LAND ROVER	25%	59%
DISCOVERY II S	LAND ROVER	25%	59%
DISCOVERY SPORT	LAND ROVER	25%	59%
EVOQUE	LAND ROVER	25%	59%
FREELANDER	LAND ROVER	25%	59%
LAND ROVER EVOQ	LAND ROVER	25%	59%
LR4 HSE	LAND ROVER	25%	59%
RANGE ROVER	LAND ROVER	25%	59%
RANGE ROVER EVO	LAND ROVER	25%	59%
RANGE ROVER SPO	LAND ROVER	25%	59%
RANGE ROVER 4.4	LAND ROVER	25%	59%
110SVX	LAND ROVER	25%	59%
ES330	LEXUS	25%	59%
LX470	LEXUS	25%	59%
CT 200	LEXUS	25%	59%
CT 200H	LEXUS	25%	59%
ES300	LEXUS	25%	59%
ES350	LEXUS	25%	59%
GS 400	LEXUS	25%	59%
GS300	LEXUS	25%	59%
GS350	LEXUS	25%	59%
GS400	LEXUS	25%	59%
GS430	LEXUS	25%	59%
GS45H	LEXUS	25%	59%
GS450	LEXUS	25%	59%
GS450H	LEXUS	25%	59%
GWL10L-BEXQB	LEXUS	25%	59%
GX 460	LEXUS	25%	59%
GX 460-L2	LEXUS	25%	59%
GX460	LEXUS	25%	59%
GX460-L1	LEXUS	25%	59%
GX470	LEXUS	25%	59%
G460	LEXUS	25%	59%
IS	LEXUS	25%	59%
IS200	LEXUS	25%	59%
IS250	LEXUS	25%	59%
IS300	LEXUS	25%	59%
IS350	LEXUS	25%	59%
LS400	LEXUS	25%	59%
LS430	LEXUS	25%	59%
LS450	LEXUS	25%	59%
LS460	LEXUS	25%	59%
LX450	LEXUS	25%	59%
LX460	LEXUS	25%	59%
LX470	LEXUS	25%	59%
LX570	LEXUS	25%	59%
NX	LEXUS	25%	59%
NX 300H	LEXUS	25%	59%
NX300H	LEXUS	25%	59%
RX 300	LEXUS	25%	59%
RX 350	LEXUS	25%	59%
RX300	LEXUS	25%	59%
RX330	LEXUS	25%	59%
RX350	LEXUS	25%	59%
RX450	LEXUS	25%	59%
RX450-F1	LEXUS	25%	59%
RX450H	LEXUS	25%	59%
RX450-L2	LEXUS	25%	59%
SC300	LEXUS	25%	59%
SC400	LEXUS	25%	59%
URJ150L-GKTZKV	LEXUS	25%	59%
 LF7130A	LIFAN	25%	59%
LF7162C	LIFAN	25%	59%
ARC	LINCOLN	25%	59%
CONTINENTAL	LINCOLN	25%	59%
FWD	LINCOLN	25%	59%
LS	LINCOLN	25%	59%
MARK	LINCOLN	25%	59%
MKC	LINCOLN	25%	59%
MKS 3.72 V6	LINCOLN	25%	59%
MKX AWD	LINCOLN	25%	59%
MKZ	LINCOLN	25%	59%
NAVIGATOR	LINCOLN	25%	59%
PREMIER FWD	LINCOLN	25%	59%
TOWN CAR	LINCOLN	25%	59%
VERSALLES	LINCOLN	25%	59%
POR DEFINIR	LOAD	25%	59%
TRI AXLE	LOADCRAFT	25%	59%
CHASIS	LODC	25%	59%
POR DEFINIR	LODC	25%	59%
CX600	MACK	25%	59%
DM690S	MACK	25%	59%
DUMP	MACK	25%	59%
A-10	MACK	25%	59%
B379	MACK	25%	59%
CAMION	MACK	25%	59%
CH600	MACK	25%	59%
CH613	MACK	25%	59%
CS-300P	MACK	25%	59%
CV7	MACK	25%	59%
CV713	MACK	25%	59%
CX613	MACK	25%	59%
DMM6906S	MACK	25%	59%
DM6	MACK	25%	59%
DM685	MACK	25%	59%
DM686	MACK	25%	59%
DM690S	MACK	25%	59%
DM6905	MACK	25%	59%
DUMP TRUCK	MACK	25%	59%
EG-3005B	MACK	25%	59%
F-600	MACK	25%	59%
F-700	MACK	25%	59%
F-786ST	MACK	25%	59%
GU-813E	MACK	25%	59%
GU813E	MACK	25%	59%
MD690S	MACK	25%	59%
MH612	MACK	25%	59%
MH613	MACK	25%	59%
MIDLINER	MACK	25%	59%
MR688	MACK	25%	59%
MR688S	MACK	25%	59%
MS200	MACK	25%	59%
MS250P	MACK	25%	59%
MS300	MACK	25%	59%
M8250	MACK	25%	59%
RB600	MACK	25%	59%
RDM	MACK	25%	59%
RD600	MACK	25%	59%
RD688	MACK	25%	59%
RD690	MACK	25%	59%
RD-690S	MACK	25%	59%
R-685ST	MACK	25%	59%
R686ST	MACK	25%	59%
R688ST	MACK	25%	59%
R69OST	MACK	25%	59%
TK	MACK	25%	59%
TR	MACK	25%	59%
TRACTOR CARRET	MACK	25%	59%
TRUCK	MACK	25%	59%
VD-600	MACK	25%	59%
VOLQUETE	MACK	25%	59%
W5786LST	MACK	25%	59%
600	MACK	25%	59%
600DM6	MACK	25%	59%
600RD	MACK	25%	59%
600RS685LS	MACK	25%	59%
690	MACK	25%	59%
DOBLE CABINA 4X4	MAHINDRA	25%	59%
CAB. SENCILLA	MAHINDRA	25%	59%
DOBLE CABINA 4	MAHINDRA	25%	59%
DOBLE CABINA 4X	MAHINDRA	25%	59%
PIK UP 4X4 D/C	MAHINDRA	25%	59%
COUPE CAMBIOCOR	MASERATI	25%	59%
GRAND TOURISMO	MASERATI	25%	59%
QUATTROPORTE	MASERATI	25%	59%
BAH2 LAS	MAZDA	25%	59%
BAH2 LBU	MAZDA	25%	59%
BAH2 LBX	MAZDA	25%	59%
BAH8 LAH	MAZDA	25%	59%
BBW9LAG	MAZDA	25%	59%
BP1KLBY	MAZDA	25%	59%
TD81 NBL	MAZDA	25%	59%
UA7M LAE	MAZDA	25%	59%
UA7S LAJ	MAZDA	25%	59%
BAH2 LAS	MAZDA	25%	59%
BAH8 LA1	MAZDA	25%	59%
BBW8 LAE	MAZDA	25%	59%
BBW8LAC	MAZDA	25%	59%
BBW9	MAZDA	25%	59%
BCC5 LAM	MAZDA	25%	59%
BDK4 LAC	MAZDA	25%	59%
BDK4 LAC 3	MAZDA	25%	59%
BP1ELBB	MAZDA	25%	59%
BP1JLCB	MAZDA	25%	59%
BR7JLA2	MAZDA	25%	59%
BR7JLCA	MAZDA	25%	59%
BT-50	MAZDA	25%	59%
B2200	MAZDA	25%	59%
B2300	MAZDA	25%	59%
B2900	MAZDA	25%	59%
CC39LAE	MAZDA	25%	59%
CE 41	MAZDA	25%	59%
CE 41 LAF	MAZDA	25%	59%
CG61 LAG	MAZDA	25%	59%
CR-7	MAZDA	25%	59%
CX5	MAZDA	25%	59%
CX5 2.0L 4WD LI	MAZDA	25%	59%
CX-7	MAZDA	25%	59%
CX7	MAZDA	25%	59%
CX9	MAZDA	25%	59%
DF96 LAI	MAZDA	25%	59%
DF96 LAK	MAZDA	25%	59%
DF97 LAD	MAZDA	25%	59%
DN64 LAQ	MAZDA	25%	59%
EG65 NAX	MAZDA	25%	59%
EG65MAX	MAZDA	25%	59%
EG68 NAX	MAZDA	25%	59%
EG68NAX	MAZDA	25%	59%
EG68NB5	MAZDA	25%	59%
EH53 NAK	MAZDA	25%	59%
EH54NAB	MAZDA	25%	59%
FF64NAF	MAZDA	25%	59%
GGV3-LAN	MAZDA	25%	59%
GR9T LAN	MAZDA	25%	59%
LIMITED AT	MAZDA	25%	59%
MARVIE	MAZDA	25%	59%
MAZDA 2	MAZDA	25%	59%
MAZDA2	MAZDA	25%	59%
MAZDA3	MAZDA	25%	59%
MAZDA5	MAZDA	25%	59%
MAZDA6	MAZDA	25%	59%
MIATA	MAZDA	25%	59%
MPV	MAZDA	25%	59%
MX-3	MAZDA	25%	59%
PANEL	MAZDA	25%	59%
PICK UP	MAZDA	25%	59%
PROTEGE	MAZDA	25%	59%
RX8	MAZDA	25%	59%
SERIE B	MAZDA	25%	59%
TD81NAT	MAZDA	25%	59%
TD81NBL	MAZDA	25%	59%
TE76NAL	MAZDA	25%	59%
TRIBUTE	MAZDA	25%	59%
UA7L LAF	MAZDA	25%	59%
UA7M LAE	MAZDA	25%	59%
UB8P LAG	MAZDA	25%	59%
UP75	MAZDA	25%	59%
V8P LAG	MAZDA	25%	59%
3	MAZDA	25%	59%
323	MAZDA	25%	59%
5	MAZDA	25%	59%
626	MAZDA	25%	59%
929	MAZDA	25%	59%
950-LX260P	MAZDA	25%	59%
 B200	MERCEDES BENZ	25%	59%
R350	MERCEDES BENZ	25%	59%
A 250	MERCEDES BENZ	25%	59%
ATEGO	MERCEDES BENZ	25%	59%
A200	MERCEDES BENZ	25%	59%
A250	MERCEDES BENZ	25%	59%
A45 AMG	MERCEDES BENZ	25%	59%
B180	MERCEDES BENZ	25%	59%
C 180 KOMPRESOR	MERCEDES BENZ	25%	59%
CL 63 AMG	MERCEDES BENZ	25%	59%
CLA 45 AMG	MERCEDES BENZ	25%	59%
CLASE C	MERCEDES BENZ	25%	59%
CLA-200	MERCEDES BENZ	25%	59%
CLK	MERCEDES BENZ	25%	59%
CLK320	MERCEDES BENZ	25%	59%
CLS 350	MERCEDES BENZ	25%	59%
C180	MERCEDES BENZ	25%	59%
C200	MERCEDES BENZ	25%	59%
C200K	MERCEDES BENZ	25%	59%
C220	MERCEDES BENZ	25%	59%
C230	MERCEDES BENZ	25%	59%
C240	MERCEDES BENZ	25%	59%
C250	MERCEDES BENZ	25%	59%
C280	MERCEDES BENZ	25%	59%
C300	MERCEDES BENZ	25%	59%
C63	MERCEDES BENZ	25%	59%
C63 AMG	MERCEDES BENZ	25%	59%
E200	MERCEDES BENZ	25%	59%
E220	MERCEDES BENZ	25%	59%
E230	MERCEDES BENZ	25%	59%
E240	MERCEDES BENZ	25%	59%
E250	MERCEDES BENZ	25%	59%
E280	MERCEDES BENZ	25%	59%
E300	MERCEDES BENZ	25%	59%
E320	MERCEDES BENZ	25%	59%
E-350	MERCEDES BENZ	25%	59%
E350	MERCEDES BENZ	25%	59%
E430	MERCEDES BENZ	25%	59%
E-63 AMG	MERCEDES BENZ	25%	59%
G 63 AMG	MERCEDES BENZ	25%	59%
GL 420 CDI	MERCEDES BENZ	25%	59%
GLA	MERCEDES BENZ	25%	59%
GLA 45AMG	MERCEDES BENZ	25%	59%
