MODELO	MARCAS	RECARGO	DESC. FIJO
650I COUPE	BMW	25%	59%
730 I	BMW	25%	59%
740	BMW	25%	59%
740 I	BMW	25%	59%
745 I	BMW	25%	59%
7451	BMW	25%	59%
750	BMW	25%	59%
750 HYBRID	BMW	25%	59%
750 IL	BMW	25%	59%
750I	BMW	25%	59%
7750	BMW	25%	59%
M931A2	BMY	25%	59%
ENCLAVE	BUICK	25%	59%
LACROSSE	BUICK	25%	59%
LUCERNE	BUICK	25%	59%
REGAL	BUICK	25%	59%
VERANO	BUICK	25%	59%
REMOLQUE	BUTLER	25%	59%
F0	BYD	25%	59%
F3	BYD	25%	59%
QCJ7100L2	BYD	25%	59%
SEDAN	BYD	25%	59%
CATERA	CADILLAC	25%	59%
CTS	CADILLAC	25%	59%
DEVILLE	CADILLAC	25%	59%
ESCALA	CADILLAC	25%	59%
ESCALADE	CADILLAC	25%	59%
FLEETWOOD	CADILLAC	25%	59%
SEVILLE	CADILLAC	25%	59%
SRX	CADILLAC	25%	59%
KY6	CAKY	25%	59%
SC1023KD	CAKY	25%	59%
DS 250	CAN AM	25%	59%
OUTLANDER	CAN AM	25%	59%
CAMION	CARTER	25%	59%
KENWORTH LUBE	CATERPILLAR	25%	59%
RI4WH76AA RANGE	CATERPILLAR	25%	59%
ENERGY 150	CELIMOTO	25%	59%
CENTURY CLASS	CENTURY CLASS	25%	59%
FONT	CENTURY CLASS	25%	59%
UNICO	CENTURY CLASS	25%	59%
WARREN	CENTURY CLASS	25%	59%
CF250T-6A	CF-MOTO	25%	59%
CF800	CF-MOTO	25%	59%
Q20DC	CHANGAN	25%	59%
SC5022XXY1	CHANGAN	25%	59%
STAR LIGHT	CHANGAN	25%	59%
CH6390	CHANGETTE	25%	59%
QQ	CHERY	25%	30%
TIGGO	CHERY	25%	30%
BLAZER	CHEVROLET	25%	59%
ASTRO	CHEVROLET	25%	59%
AVALANCHE	CHEVROLET	25%	59%
AVEO	CHEVROLET	25%	30%
BLAZER LSA	CHEVROLET	25%	59%
